County,State,gisjoin,Obama 2012 %,Romney 2012 %,Other 2012 %,Obama 2012 Margin %,Obama 2-Party Margin,Clinton 2016 %,Trump 2016 %,Other 2016 %,Clinton 2016 Margin %,Clinton 2-Party Margin,2012 to 2016 Swing,2012 to 2016 2-Party Swing
Pittsylvania,Virginia,G5101430,0.353899808,0.627847854,0.018252339,-0.273948046,-0.279041201,0.291126021,0.682131781,0.026742199,-0.39100576,-0.401749423,-0.117057714,-0.122708222
Poquoson City,Virginia,G5107350,0.236279201,0.747537292,0.016183507,-0.511258092,-0.519668145,0.223073708,0.709488644,0.067437648,-0.486414937,-0.521589721,0.024843155,-0.001921576
Portsmouth City,Virginia,G5107400,0.707743565,0.279996516,0.012259919,0.427747049,0.433056284,0.658661736,0.295735583,0.045602681,0.362926153,0.380267364,-0.064820897,-0.05278892
Powhatan,Virginia,G5101450,0.26331723,0.721417069,0.0152657,-0.458099839,-0.465201465,0.240236686,0.703254438,0.056508876,-0.463017752,-0.490749451,-0.004917913,-0.025547986
Prince Edward,Virginia,G5101470,0.555471371,0.427751921,0.016776707,0.12771945,0.129898723,0.502132779,0.448539867,0.049327354,0.053592913,0.056373677,-0.074126538,-0.073525046
Prince George,Virginia,G5101490,0.435684906,0.553346628,0.010968466,-0.117661723,-0.118966604,0.396626298,0.565805734,0.037567968,-0.169179437,-0.175783256,-0.051517714,-0.056816653
Prince William,Virginia,G5101530,0.573439885,0.413207914,0.013352202,0.160231971,0.162400374,0.575685109,0.364921796,0.059393094,0.210763313,0.22407162,0.050531342,0.061671246
Pulaski,Virginia,G5101550,0.360490463,0.607629428,0.031880109,-0.247138965,-0.255277231,0.275070878,0.680556471,0.044372651,-0.405485594,-0.424313509,-0.158346629,-0.169036279
Radford City,Virginia,G5107500,0.506019633,0.466753102,0.027227264,0.039266531,0.040365575,0.480690222,0.433525062,0.085784717,0.04716516,0.051590868,0.007898629,0.011225293
Rappahannock,Virginia,G5101570,0.454441129,0.530410833,0.015148038,-0.075969704,-0.077138196,0.389694401,0.566361811,0.043943788,-0.17666741,-0.184787681,-0.100697706,-0.107649485
Richmond,Virginia,G5101590,0.417506631,0.572944297,0.009549072,-0.155437666,-0.156936261,0.367932259,0.60447965,0.027588091,-0.236547391,-0.243258427,-0.081109726,-0.086322166
Richmond City,Virginia,G5107600,0.778126249,0.205495598,0.016378153,0.572630651,0.582165446,0.7852325,0.150564338,0.064203162,0.634668161,0.678211483,0.06203751,0.096046037
