FIPS,gisjoin,state,county,total_votes,dem_margin,past_pres_partisanship,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon,total_religious,black_protestant
13175,G1301750,Georgia,Laurens County,19448,-0.289759,-0.2263314,35365,38.4,0.15237137,33632,0.566,0.58796703,0.3646291,0.00058575,0.01102464,0.02518723,0.43754,0.086819,0.015259,0.008589,0.593029,0.044679
13177,G1301770,Georgia,Lee County,14106,-0.528601,-0.522307,20810,36.8,0.24163412,62797,0.362,0.7321686,0.194515,0.00048054,0.02378664,0.02673852,0.29811,0.039049,0,0,0.351579,0.0135
13179,G1301790,Georgia,Liberty County,16082,0.21198,0.30253556,44320,27.4,0.18899548,42484,0.232,0.41256314,0.39949022,0.00401883,0.02050071,0.12050228,0.1833,0.03098,0.01984,0.017789,0.27148,0.018579
13181,G1301810,Georgia,Lincoln County,4100,-0.362262,-0.2758699,6180,47.3,0.13153217,34720,1,0.6530083,0.32378112,0,0.00246369,0.01413382,0.284769,0.109549,0,0,0.43897,0.04427
13183,G1301830,Georgia,Long County,4109,-0.307505,-0.2272488,11505,31.7,0.15238095,50848,0.813,0.58974656,0.22420693,0.00185583,0.0063794,0.11778693,0.201949,0.00712,0,0,0.21827,0.00913
13185,G1301850,Georgia,Lowndes County,36813,-0.173813,-0.0985512,83885,29.9,0.23855422,38915,0.272,0.5466909,0.36005022,0.00148378,0.01859559,0.0531616,0.357819,0.08378,0.036609,0.01021,0.52794,0.03196
13187,G1301870,Georgia,Lumpkin County,12324,-0.595493,-0.6044934,24340,36.8,0.26985115,40634,0.839,0.90959671,0.01762398,0.00704316,0.00379494,0.04598958,0.112989,0.0845,0.04185,0,0.24775,0.005969
13189,G1301890,Georgia,McDuffie County,9268,-0.186987,-0.1491868,15710,38.1,0.14184248,37021,0.61,0.54513406,0.40606735,0,0.00227294,0.02787828,0.406259,0.07415,0.02619,0,0.62373,0.11579
13191,G1301910,Georgia,McIntosh County,5893,-0.200576,-0.0859486,11305,48,0.13766638,45248,0.743,0.61502044,0.3509074,0.00179327,0.00179327,0.01398752,0.16452,0.056229,0.027699,0.017859,0.303769,0.037259
13193,G1301930,Georgia,Macon County,4287,0.271752,0.34846267,10845,40.1,0.08529965,28285,0.532,0.32868699,0.59013434,0.00483894,0.01682797,0.040156,0.17537,0.042329,0.01425,0,0.37775,0.130729
13195,G1301950,Georgia,Madison County,11945,-0.564761,-0.5357529,21180,40.4,0.15471407,45063,0.919,0.83407376,0.08701784,0.00384317,0.01195261,0.04636485,0.379839,0.05224,0,0,0.43866,0.00654
13197,G1301970,Georgia,Marion County,3183,-0.221944,-0.1012618,6580,41.6,0.11076159,35484,1,0.5932223,0.36097617,0,0.00173491,0.01630812,0.194919,0.05342,0.02139,0,0.341339,0.06989
13199,G1301990,Georgia,Meriwether County,9181,-0.153846,-0.056671,16385,42.3,0.10146209,34989,0.833,0.56503892,0.39882048,0.00113234,0.00636943,0.0089172,0.288199,0.07703,0.006589,0,0.45385,0.08003
