county,state,white_only_noncollege_pct,white_only_educated_pct,hispanic_only_pct,hispanic_educated_pct,asian_only_pct,asian_educated_pct,black_only_pct,black_educated_pct,white_and_white_hispanic_educated_pct,white_and_white_hispanic_noncollege_pct,other_pct,FIPS
Erath,Texas,0.397802815,0.186479823,0.116506975,0.008957273,0.004619082,0.002215911,0.004244562,0.001560501,0.193127555,0.485066009,0.290346743,48143
Falls,Texas,0.424942943,0.084738276,0.158286093,0.003533829,0.0030921,0.001251564,0.192814548,0.011043216,0.088272105,0.55937569,0.13612604,48145
Fannin,Texas,0.613278756,0.122873559,0.069998873,0.006947313,0.005219873,0.001764993,0.061136355,0.004581471,0.127492583,0.663149198,0.127492583,48147
Fayette,Texas,0.570985141,0.145634032,0.126959088,0.004019947,0.006615103,0.002849583,0.049867698,0.001831875,0.149653979,0.67799715,0.099938938,48149
Fisher,Texas,0.469895288,0.142342932,0.23854712,0.019633508,0.001308901,0,0.035667539,0.001963351,0.16197644,0.623363874,0.11223822,48151
Floyd,Texas,0.30176311,0.119349005,0.424502712,0.02034358,0.001130199,0.00045208,0.025994575,0.001356239,0.139692586,0.672694394,0.127260398,48153
Foard,Texas,0.626300851,0.135288553,0.124881741,0.009460738,0,0,0.016083254,0,0.140018921,0.653736991,0.097445601,48155
Fort Bend,Texas,0.163380499,0.171290074,0.187646017,0.041564916,0.172595459,0.107507183,0.177932897,0.068343605,0.205490343,0.263793465,0.127155054,48157
Franklin,Texas,0.603653197,0.16064056,0.088327286,0.005755036,0.000500438,0,0.042161892,0.001626423,0.162392093,0.666207932,0.104716627,48159
Freestone,Texas,0.553242118,0.091876529,0.100403199,0.00224734,0.003304911,0,0.1412519,0.007733492,0.094123868,0.635600502,0.109921343,48161
Frio,Texas,0.134094151,0.021968616,0.592082739,0.031383738,0.004136947,0,0.030955777,0.004208274,0.052211127,0.538088445,0.216761769,48163
Gaines,Texas,0.426071117,0.073810089,0.317731844,0.011483329,0.005781262,0.001267126,0.020590797,0.001267126,0.083313534,0.702542172,0.156014889,48165
Galveston,Texas,0.369962102,0.184166547,0.17480186,0.028427458,0.030183074,0.017703858,0.110565764,0.020535631,0.209707369,0.493614794,0.130320653,48167
Garza,Texas,0.301537322,0.065752917,0.483422856,0.006853121,0.003148731,0,0.025375069,0,0.070012965,0.674569365,0.120763104,48169
Gillespie,Texas,0.459130772,0.298997044,0.140462232,0.007800766,0.003343185,0.000290712,0.002616406,0.000872135,0.30481128,0.56713019,0.095450361,48171
Glasscock,Texas,0.371111111,0.223333333,0.317777778,0.006666667,0,0,0,0,0.223333333,0.604444444,0.087777778,48173
Goliad,Texas,0.449119206,0.124166239,0.273644604,0.017444844,0.001710279,0,0.044638276,0,0.135625107,0.544894818,0.106721396,48175
Gonzales,Texas,0.343670291,0.100550409,0.368035978,0.014095852,0.000738354,0,0.054369714,0.004363002,0.108739428,0.441334407,0.132635253,48177
Gray,Texas,0.522854152,0.105489649,0.190974645,0.010176785,0.004594092,0.003663643,0.053442661,0.002965806,0.110723424,0.650441963,0.122644801,48179
Grayson,Texas,0.566281614,0.158076074,0.078018157,0.007334679,0.00822245,0.002473076,0.046914467,0.004777053,0.16470265,0.621323413,0.142487238,48181
Gregg,Texas,0.417022114,0.147505304,0.112638625,0.007415185,0.011724304,0.004352867,0.165146444,0.017695824,0.15297373,0.51128683,0.145963208,48183
Grimes,Texas,0.472641062,0.101991465,0.16149834,0.001801802,0.001185396,0.000142248,0.136510194,0.011000474,0.102987198,0.585680417,0.126173542,48185
Guadalupe,Texas,0.341642215,0.159521335,0.284200554,0.040213762,0.015553859,0.007689548,0.063447971,0.022645536,0.188458319,0.495129646,0.135634066,48187
Hale,Texas,0.24727215,0.10701107,0.429552037,0.019957942,0.004483593,0.001864857,0.038090703,0.00218228,0.122525096,0.598024045,0.173590446,48189
Hall,Texas,0.487531172,0.091022444,0.207398171,0.011221945,0.006234414,0.002078138,0.061097257,0.002909393,0.093931837,0.645885287,0.146716542,48191
Hamilton,Texas,0.622788286,0.185478951,0.063148261,0.00228798,0.003203173,0.001982916,0.007016473,0,0.186394143,0.68090299,0.118364857,48193
Hansford,Texas,0.382870252,0.164669895,0.326535814,0.015549324,0.001529442,0.001529442,0.003058884,0,0.179454499,0.645169513,0.121335712,48195
Hardeman,Texas,0.535809019,0.11571618,0.180039788,0,0.00464191,0,0.082228117,0.008952255,0.11571618,0.665782493,0.081564987,48197
Hardin,Texas,0.663059353,0.131874446,0.037661312,0.004596931,0.006440491,0.000837982,0.045011612,0.004381449,0.136471377,0.69394498,0.115952786,48199
Harris,Texas,0.169253187,0.146552777,0.314525151,0.037466167,0.064567142,0.034149318,0.160976405,0.038108277,0.176761109,0.378916891,0.144125338,48201
Harrison,Texas,0.484126024,0.12094074,0.073681875,0.004175239,0.005022389,0.003186897,0.178264553,0.025011094,0.123119125,0.534551616,0.13796442,48203
Hartley,Texas,0.441358684,0.173894467,0.203588977,0.007477035,0.003845332,0.001281777,0.105319376,0,0.179662465,0.606494339,0.071993164,48205
Haskell,Texas,0.495243878,0.110503947,0.216555353,0.001416717,0.008500304,0.004857316,0.032584497,0.000202388,0.111313499,0.682048168,0.136612022,48207
Hays,Texas,0.255910507,0.214434748,0.25151199,0.045965911,0.011567254,0.007641013,0.025601624,0.008021654,0.254585313,0.429884539,0.240973877,48209
Hemphill,Texas,0.439646018,0.190442478,0.229734513,0.007433628,0.003539823,0.002831858,0.004247788,0,0.197876106,0.632566372,0.132389381,48211
Henderson,Texas,0.610635816,0.142426599,0.074696999,0.004796163,0.005719749,0.001976797,0.053243891,0.005039212,0.146752868,0.66997213,0.113276946,48213
Hidalgo,Texas,0.056997009,0.025620052,0.735063927,0.111589234,0.00979767,0.006270655,0.005150244,0.001346314,0.127242187,0.614037741,0.167371098,48215
Hill,Texas,0.567384939,0.128312936,0.129138824,0.007470531,0.004767625,0.000450484,0.05375779,0.005067948,0.134619716,0.674299872,0.116637886,48217
Hockley,Texas,0.361704605,0.094195727,0.330325435,0.023112301,0.002212261,0.002212261,0.027711475,0.001862956,0.113291029,0.628689527,0.183850498,48219
Hood,Texas,0.594407556,0.220681754,0.074230805,0.009328533,0.005003273,0.001963902,0.004114841,0.000374076,0.22865426,0.64958384,0.101561769,48221
Hopkins,Texas,0.567885117,0.141626259,0.102648266,0.003282357,0.004811637,0.000596792,0.062215591,0.004475942,0.144572921,0.627638941,0.120813129,48223
Houston,Texas,0.482893451,0.109970674,0.076354947,0.003964375,0.004561746,0,0.220593027,0.015748887,0.111762789,0.529271207,0.105626154,48225
Howard,Texas,0.394843579,0.083941735,0.310619688,0.017246852,0.007618241,0.00193983,0.047049695,0.001692943,0.098508094,0.625189574,0.155927062,48227
Hudspeth,Texas,0.146968534,0.046431312,0.648119724,0.017651573,0.017267843,0,0.016884114,0,0.060245587,0.642363776,0.124328473,48229
Hunt,Texas,0.557418001,0.128981716,0.094881232,0.008469691,0.008602723,0.004271799,0.063988293,0.006902872,0.134007361,0.587113653,0.146128036,48231
Hutchinson,Texas,0.573545896,0.108606302,0.143604434,0.016004484,0.006912442,0.002615519,0.020550504,0.002179599,0.119566571,0.675675676,0.146780421,48233
Irion,Texas,0.591769547,0.112757202,0.169547325,0.019753086,0,0,0,0,0.122633745,0.674897119,0.125925926,48235
Jack,Texas,0.632412205,0.086355786,0.112262522,0.001295337,0.000575705,0,0.036413356,0.006908463,0.087651123,0.72970639,0.131980426,48237
Jackson,Texas,0.459829217,0.13166835,0.233679185,0.01808833,0.002387292,0.002020017,0.070884216,0.003397301,0.14975668,0.639518869,0.10155174,48239
Jasper,Texas,0.619855529,0.081163178,0.042081867,0.00218559,0.00570476,0.002296722,0.132543064,0.007001297,0.083348768,0.642155955,0.118651602,48241
Jeff Davis,Texas,0.345706371,0.329639889,0.278116343,0.03434903,0.006648199,0.004432133,0,0,0.36066482,0.583379501,0.039889197,48243
Jefferson,Texas,0.310082185,0.103633986,0.135169351,0.012338121,0.029527436,0.009889175,0.279439233,0.033896107,0.11392786,0.41328553,0.142147808,48245
Jim Hogg,Texas,0.067184154,0.006156317,0.800053533,0.090738758,0,0,0.000535332,0,0.096895075,0.754817987,0.126070664,48247
Jim Wells,Texas,0.153789204,0.034089379,0.664726073,0.053843048,0.003869969,0.002624849,0.007739938,0,0.086653655,0.736505586,0.135785435,48249
Johnson,Texas,0.56647957,0.132510799,0.136899373,0.012191442,0.007889087,0.003741928,0.024538079,0.005328367,0.143555521,0.674116034,0.131683091,48251
Jones,Texas,0.414525073,0.080138334,0.224971677,0.011269453,0.004293125,0,0.141315366,0.002683203,0.089022718,0.519587383,0.134756425,48253
Karnes,Texas,0.287919463,0.081040268,0.407634228,0.01954698,0.001677852,0.000167785,0.084563758,0.004446309,0.089261745,0.496392617,0.13716443,48255
Kaufman,Texas,0.508898604,0.135454467,0.132692617,0.012781294,0.008558017,0.003628798,0.088156249,0.017363734,0.146006465,0.605228936,0.126240046,48257
