FIPS,gisjoin,state,county,total_votes,dem_margin,CVAP,median_age,bachelor %,median_income,rural %,white %,black %,native %,asian %,hispanic %,evangelical,protestant,catholic,mormon
36103,G3601030,New York,Suffolk,586258,0.0369,1031945,39.8,0.326475324,87778,0.026,0.79919957,0.066612077,0.001230686,0.025321117,0.100121615,0.03945,0.04634,0.588919,0.00227
36105,G3601050,New York,Sullivan,28415,0.0902,56545,41.8,0.205007094,48050,0.742,0.802104519,0.080466885,0.002210629,0.010876293,0.0893094,0.018039,0.063789,0.197969,0.00244
36107,G3601070,New York,Tioga,21601,-0.147,38970,42.8,0.235392179,56488,0.657,0.968822171,0.005132153,0.002822684,0.00603028,0.010007698,0.05228,0.139169,0.114049,0.00649
36109,G3601090,New York,Tompkins,39670,0.4068,76525,29.8,0.498753635,50539,0.433,0.86618752,0.036262659,0.002548187,0.043645867,0.039006861,0.04577,0.079769,0.07231,0.01048
36111,G3601110,New York,Ulster,78315,0.2286,139765,42.1,0.295453655,58934,0.46,0.863556684,0.05058491,0.001645619,0.008657389,0.061317211,0.022489,0.0839,0.275389,0.00396
36113,G3601130,New York,Warren,29578,0.0233,51660,44.2,0.27381812,54909,0.339,0.966318235,0.008130081,0.003581107,0.004161827,0.013356562,0.04027,0.074239,0.221379,0.008689
36115,G3601150,New York,Washington,23095,0.0189,49390,42.2,0.170282871,50864,0.679,0.936323142,0.033407572,0.001214821,0.003037052,0.018222312,0.029359,0.09901,0.21483,0.00388
36117,G3601170,New York,Wayne,37547,-0.0913,70420,41.8,0.20344076,53497,0.607,0.934038625,0.030318091,0.002485089,0.003905141,0.023714854,0.050579,0.1094,0.16446,0.01249
36119,G3601190,New York,Westchester,388447,0.2515,611200,40.1,0.447869841,81093,0.033,0.6705661,0.139676047,0.001137107,0.043144634,0.13516034,0.030469,0.049369,0.458939,0.00343
36121,G3601210,New York,Wyoming,16335,-0.2869,32895,40.7,0.144559465,50635,0.641,0.898920809,0.067031464,0.002279982,0.002431981,0.025383797,0.02771,0.11187,0.18902,0.00584
36123,G3601230,New York,Yates,9442,-0.0329,18990,40.4,0.231246578,48245,0.712,0.969984202,0.006319115,0.001579779,0.002632965,0.012111638,0.017039,0.16684,0.113219,0.007219
37001,G3700010,North Carolina,Alamance,67776,-0.137142942,108325,38.5,0.217601073,44155,0.286,0.754627279,0.192476344,0.002723286,0.008908378,0.029863836,0.21955,0.14765,0.0203,0.008789
