name_2012,gisjoin,state_2012,2012votes,swing2008to12,obamamargin2012,medianage_2012,bachelorabove_2012,medianincome_2012,rural,white_2012,black_2012,native_2012,asian_2012,hispanic_2012,otherrace_2012,evangelical_2012,mainlineprotestant_2012,catholic_2012,mormon_2012,other religion,County Power Index 2012
Shoshone,G1600790,Idaho,5148,-0.005729318,-0.081973582,46.5,0.137343197,38273,0.56,0.944250871,0.00099552,0.008461921,0.00298656,0.022896964,0.020408163,0.114609,0.029379,0.055149,0.053509,0.000311,0.00789239
Teton,G1600810,Idaho,4523,-0.12599374,-0.117621048,33.9,0.333025119,56532,1,0.95936255,0,0,0.004780876,0.035059761,0.000796813,0.00285,0.01091,0.038149,0.33825,0.000199,0.0069342
Twin Falls,G1600830,Idaho,28142,-0.067344054,-0.434652832,34.6,0.159823745,42639,0.28,0.904569115,0.002313476,0.005687295,0.009832273,0.067187199,0.010410642,0.110319,0.059979,0.075439,0.24602,0.00584,0.04314445
Valley,G1600850,Idaho,4919,-0.046376334,-0.115673918,46.7,0.343754304,51953,1,0.953443878,0,0.00127551,0.00127551,0.021045918,0.022959184,0.11864,0.02839,0.03681,0.10312,0.00102,0.00754131
Washington,G1600870,Idaho,4330,-0.03978447,-0.46743649,44,0.157564781,36311,0.456,0.892631579,0,0.004210526,0.009824561,0.071578947,0.021754386,0.12267,0.03981,0.1668,0.16974,0,0.00663831
Adams,G1700010,Illinois,30607,-0.127404601,-0.351814944,40.4,0.210195546,45691,0.326,0.94923017,0.03167024,0.001071916,0.004092769,0.006821282,0.007113623,0.394889,0.133699,0.225969,0.010339,0.005961,0.00583892
Alexander,G1700030,Illinois,3501,0.010294167,0.136532419,41,0.089164992,27248,0.619,0.643890675,0.324758842,0.004019293,0.003215434,0.013665595,0.010450161,0.242289,0.057049,0.05742,0,0.00461,0.00066789
Bond,G1700050,Illinois,7336,-0.133412938,-0.146537623,40.4,0.202239449,47705,0.607,0.915042295,0.035307098,0.000294226,0.006987863,0.031629275,0.010739242,0.296769,0.07395,0.133949,0,0.00023,0.00139949
Boone,G1700070,Illinois,21365,-0.098748291,-0.056775099,36.6,0.198845151,63670,0.194,0.865977922,0.018397962,0.001698273,0.012878573,0.095103312,0.005943957,0.074849,0.107519,0.192379,0.00454,0.00015,0.00407582
Brown,G1700090,Illinois,2364,-0.089901461,-0.307106599,37.2,0.126694166,43915,0.411,0.724778761,0.176106195,0.003539823,0.004424779,0.046017699,0.045132743,0.076689,0.11648,0.241599,0,0.00058,0.00045098
